transaction_id,user_id,transaction_date,description,amount,transaction_type,category,monthly_budget
txn-0172,user-002,2026-06-16,Mortgage Payment,1436.4,expense,housing,1800
txn-0111,user-004,2026-06-10,Trash Service,211.42,expense,utilities,2200
txn-0092,user-002,2026-06-21,Ross Dress For Less,301.46,expense,shopping,1800
txn-0084,user-003,2026-06-30,Walmart Supercenter,135.17,expense,shopping,3200
txn-0224,user-004,2026-06-23,Venmo Received,1687.62,income,income,2200
txn-0229,user-002,2026-06-09,Long Term Savings,587.31,transfer,savings,1800
txn-0090,user-001,2026-06-18,Marshalls,71.3,expense,shopping,2500
txn-0009,user-003,2026-06-03,Safeway Grocery Store,60.09,expense,food,3200
txn-0014,user-001,2026-06-08,Taco Bell,117.09,expense,food,2500
txn-0060,user-001,2026-06-07,Disney Plus,11.66,expense,subscriptions,2500
txn-0216,user-003,2026-06-08,Direct Deposit Payroll,736.9,income,income,3200
txn-0132,user-003,2026-06-27,Concert Tickets,172.08,expense,entertainment,3200
txn-0018,user-003,2026-06-30,Dunkin Donuts,104.11,expense,food,3200
txn-0167,user-004,2026-06-27,HOA Payment,790.1,expense,housing,2200
txn-0073,user-003,2026-06-02,Netflix Subscription,25.45,expense,subscriptions,3200
txn-0221,user-001,2026-06-07,Interest Payment,1751.03,income,income,2500
txn-0135,user-004,2026-06-28,Comedy Club,141.8,expense,entertainment,2200
txn-0205,user-003,2026-06-19,Reimbursement,2453.21,income,income,3200
txn-0231,user-003,2026-06-04,Retirement Contribution,354.65,transfer,savings,3200
txn-0064,user-001,2026-06-21,Netflix Subscription,39.97,expense,subscriptions,2500
txn-0055,user-004,2026-06-26,Disney Plus,21.55,expense,subscriptions,2200
txn-0108,user-002,2026-06-06,Phone Bill,204.29,expense,utilities,1800
txn-0051,user-002,2026-06-03,Netflix Subscription,29.77,expense,subscriptions,1800
txn-0240,user-001,2026-06-12,Retirement Contribution,315.43,transfer,savings,2500
txn-0175,user-001,2026-06-27,Dorm Housing Payment,880.14,expense,housing,2500
txn-0209,user-003,2026-06-05,Reimbursement,1775.74,income,income,3200
txn-0190,user-004,2026-06-20,Medical Copay,207.09,expense,healthcare,2200
txn-0247,user-004,2026-06-07,Savings Transfer,386.99,transfer,savings,2200
txn-0208,user-002,2026-06-02,Scholarship Deposit,2448.59,income,income,1800
txn-0222,user-003,2026-06-03,Cash Deposit,814.11,income,income,3200
txn-0170,user-001,2026-06-01,Dorm Housing Payment,1744.57,expense,housing,2500
txn-0059,user-001,2026-06-13,Netflix Subscription,30.49,expense,subscriptions,2500
txn-0049,user-001,2026-06-08,Uber Ride,20.88,expense,transportation,2500
txn-0089,user-001,2026-06-05,Electronics Store,107.27,expense,shopping,2500
txn-0022,user-001,2026-06-27,McDonalds,9.65,expense,food,2500
txn-0058,user-001,2026-06-21,PlayStation Plus,39.45,expense,subscriptions,2500
txn-0204,user-002,2026-06-07,Refund Deposit,1977.21,income,income,1800
txn-0161,user-002,2026-06-18,Landlord Payment,729.66,expense,housing,1800
txn-0243,user-004,2026-06-25,Future Fund Transfer,407.56,transfer,savings,2200
txn-0188,user-003,2026-06-28,Vision Center,88.74,expense,healthcare,3200
txn-0192,user-002,2026-06-07,Walgreens Pharmacy,119.35,expense,healthcare,1800
txn-0130,user-002,2026-06-16,Escape Room,145.97,expense,entertainment,1800
txn-0038,user-002,2026-06-12,Texaco Fuel,139.63,expense,transportation,1800
txn-0158,user-002,2026-06-08,Home Insurance,1000.23,expense,housing,1800
txn-0236,user-001,2026-06-22,Ally Savings Transfer,583.92,transfer,savings,2500
txn-0002,user-002,2026-06-24,Chipotle,19.86,expense,food,1800
txn-0053,user-003,2026-06-17,Spotify Premium,13.33,expense,subscriptions,3200
txn-0150,user-001,2026-06-05,Bowling Alley,53.16,expense,entertainment,2500
txn-0131,user-002,2026-06-03,Eventbrite Tickets,61.82,expense,entertainment,1800
txn-0152,user-004,2026-06-18,Storage Unit Rent,1212.52,expense,housing,2200
txn-0104,user-004,2026-06-24,Cell Phone Provider,68.23,expense,utilities,2200
txn-0100,user-002,2026-06-05,GameStop,33.8,expense,shopping,1800
txn-0117,user-003,2026-06-04,Electric Company Bill,163.26,expense,utilities,3200
txn-0088,user-001,2026-06-27,Ross Dress For Less,203.02,expense,shopping,2500
txn-0203,user-002,2026-06-04,Bonus Payment,1985.76,income,income,1800
txn-0075,user-002,2026-06-20,Spotify Premium,7.38,expense,subscriptions,1800
txn-0215,user-001,2026-06-05,Freelance Payment,2122.28,income,income,2500
txn-0211,user-003,2026-06-16,Venmo Received,1380.94,income,income,3200
txn-0122,user-003,2026-06-11,Cell Phone Provider,177.63,expense,utilities,3200
txn-0250,user-003,2026-06-29,Retirement Contribution,503.86,transfer,savings,3200
txn-0021,user-002,2026-06-11,Taco Bell,127.21,expense,food,1800
txn-0189,user-001,2026-06-29,Urgent Care,146.22,expense,healthcare,2500
txn-0072,user-001,2026-06-24,Xbox Game Pass,23.98,expense,subscriptions,2500
txn-0107,user-003,2026-06-30,Broadband Payment,123.52,expense,utilities,3200
txn-0015,user-001,2026-06-08,Pizza Hut,130.64,expense,food,2500
txn-0093,user-004,2026-06-29,Old Navy,319.69,expense,shopping,2200
txn-0180,user-001,2026-06-19,Eye Exam,239.14,expense,healthcare,2500
txn-0103,user-002,2026-06-04,Energy Service,111.04,expense,utilities,1800
